dataset,arch,method_key,method,acc,samia,conf,entr,mentr,hconf,avg_attack,path
cifar100,resnet18,full,Full,41.067,74.911,65.195,60.339,65.164,65.204,66.1626,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_resnet18\iter_pruning_0.6_risk_distill_swmr.txt
cifar100,resnet18,no_budget,w/o Budget,39.552,74.728,63.26,57.512,63.377,63.579,64.4912,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_resnet18\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
cifar100,resnet18,no_kd,w/o KD,38.255,73.603,64.201,59.163,64.153,64.526,65.1292,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_resnet18\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
cifar100,resnet18,no_entropy,w/o Entropy,40.497,74.888,65.313,60.969,65.339,65.316,66.365,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_resnet18\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
cifar100,vgg16bn,full,Full,34.048,75.171,64.364,56.145,64.323,64.183,64.83720000000001,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_vgg16bn\iter_pruning_0.6_risk_distill_swmr.txt
cifar100,vgg16bn,no_budget,w/o Budget,35.067,77.223,66.511,58.014,66.67,66.485,66.98060000000001,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_vgg16bn\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
cifar100,vgg16bn,no_kd,w/o KD,31.685,73.857,62.691,54.419,63.329,63.167,63.4926,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_vgg16bn\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
cifar100,vgg16bn,no_entropy,w/o Entropy,33.709,75.941,65.645,57.14,65.544,65.747,66.0034,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_vgg16bn\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
cifar100,densenet121,full,Full,47.37,72.722,58.595,54.162,58.61,58.609,60.53959999999999,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_densenet121\iter_pruning_0.6_risk_distill_swmr.txt
cifar100,densenet121,no_budget,w/o Budget,47.273,72.92,58.874,54.907,58.709,58.952,60.872400000000006,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_densenet121\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
cifar100,densenet121,no_kd,w/o KD,42.655,73.119,57.582,54.195,57.726,57.595,60.0434,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_densenet121\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
cifar100,densenet121,no_entropy,w/o Entropy,47.394,72.764,57.995,54.046,57.926,58.465,60.239200000000004,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_densenet121\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
cifar100,mobilenetv2,full,Full,31.394,73.171,52.264,51.533,51.928,51.642,56.107600000000005,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_mobilenetv2\iter_pruning_0.6_risk_distill_swmr.txt
cifar100,mobilenetv2,no_budget,w/o Budget,36.255,73.171,53.24,51.687,53.399,53.437,56.9868,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
cifar100,mobilenetv2,no_kd,w/o KD,25.685,73.171,51.665,51.711,52.174,52.412,56.2266,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
cifar100,mobilenetv2,no_entropy,w/o Entropy,31.77,73.171,52.483,51.399,52.426,52.254,56.3466,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\cifar100_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
