dataset,arch,method_key,method,acc,samia,conf,entr,mentr,hconf,avg_attack,path
resisc45,resnet18,full,Full,57.094,69.443,53.377,52.621,53.541,53.276,56.4516,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_resnet18\iter_pruning_0.6_risk_distill_swmr.txt
resisc45,resnet18,no_budget,w/o Budget,62.625,68.702,55.98,53.833,55.873,55.33,57.94359999999999,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_resnet18\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
resisc45,resnet18,no_kd,w/o KD,49.279,69.443,53.974,54.417,53.924,54.331,57.2178,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_resnet18\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
resisc45,resnet18,no_entropy,w/o Entropy,58.477,69.461,52.785,52.739,53.066,53.746,56.35940000000001,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_resnet18\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
resisc45,vgg16bn,full,Full,63.928,69.792,56.451,53.536,56.703,56.842,58.6648,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_vgg16bn\iter_pruning_0.6_risk_distill_swmr.txt
resisc45,vgg16bn,no_budget,w/o Budget,65.531,70.031,56.889,53.964,56.947,57.693,59.1048,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_vgg16bn\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
resisc45,vgg16bn,no_kd,w/o KD,63.547,69.455,56.279,54.16,55.952,56.498,58.4688,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_vgg16bn\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
resisc45,vgg16bn,no_entropy,w/o Entropy,63.788,69.486,56.859,52.956,57.058,56.776,58.626999999999995,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_vgg16bn\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
resisc45,densenet121,full,Full,75.531,69.357,55.706,54.669,55.788,56.071,58.318200000000004,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_densenet121\iter_pruning_0.6_risk_distill_swmr.txt
resisc45,densenet121,no_budget,w/o Budget,75.331,70.269,56.874,54.547,57.0,56.941,59.126200000000004,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_densenet121\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
resisc45,densenet121,no_kd,w/o KD,69.158,69.449,55.915,54.956,55.854,56.03,58.4408,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_densenet121\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
resisc45,densenet121,no_entropy,w/o Entropy,74.529,69.418,55.875,54.342,55.865,55.889,58.2778,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_densenet121\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
resisc45,mobilenetv2,full,Full,55.972,69.443,53.57,52.68,53.88,54.419,56.7984,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_mobilenetv2\iter_pruning_0.6_risk_distill_swmr.txt
resisc45,mobilenetv2,no_budget,w/o Budget,64.99,69.541,56.545,54.439,56.664,56.493,58.7364,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_no_budget.txt
resisc45,mobilenetv2,no_kd,w/o KD,49.399,69.443,54.786,54.126,54.52,55.123,57.599599999999995,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_no_kd.txt
resisc45,mobilenetv2,no_entropy,w/o Entropy,59.118,69.437,54.095,53.437,54.307,53.9,57.035199999999996,D:\Users\Administrator\PycharmProjects\WeMeM2\WeMeM-main\log\resisc45_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_no_entropy.txt
