dataset,arch,method,acc,lira_acc,auc,tpr1,tpr05,path
cifar100,resnet18,Base,42.4,89.616,94.834,25.956,17.138,log\cifar100_resnet18\iter_pruning_0.6_lira.txt
cifar100,resnet18,SWMR,36.897,70.172,77.614,18.796,13.813,log\cifar100_resnet18\iter_pruning_0.6_slide_ml2_lira.txt
cifar100,resnet18,RADD,41.115,65.417,71.565,5.796,3.738,log\cifar100_resnet18\iter_pruning_0.6_risk_distill_swmr_lira.txt
cifar100,vgg16bn,Base,35.091,81.119,87.897,11.72,7.938,log\cifar100_vgg16bn\iter_pruning_0.6_lira.txt
cifar100,vgg16bn,SWMR,25.867,57.598,60.392,2.258,1.431,log\cifar100_vgg16bn\iter_pruning_0.6_slide_ml2_lira.txt
cifar100,vgg16bn,RADD,35.224,65.393,70.006,3.222,2.253,log\cifar100_vgg16bn\iter_pruning_0.6_risk_distill_swmr_lira.txt
cifar100,densenet121,Base,50.012,81.675,89.144,15.178,10.849,log\cifar100_densenet121\iter_pruning_0.6_lira.txt
cifar100,densenet121,SWMR,40.945,60.638,64.746,4.044,2.849,log\cifar100_densenet121\iter_pruning_0.6_slide_ml2_lira.txt
cifar100,densenet121,RADD,45.988,58.626,61.687,2.089,1.164,log\cifar100_densenet121\iter_pruning_0.6_risk_distill_swmr_lira.txt
cifar100,mobilenetv2,Base,45.952,89.221,94.325,22.711,14.76,log\cifar100_mobilenetv2\iter_pruning_0.6_lira.txt
cifar100,mobilenetv2,SWMR,29.6,55.905,58.622,1.969,1.084,log\cifar100_mobilenetv2\iter_pruning_0.6_slide_ml2_lira.txt
cifar100,mobilenetv2,RADD,36.012,53.406,55.039,2.04,1.022,log\cifar100_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_lira.txt
cinic,resnet18,Base,60.804,72.773,78.362,4.486,2.104,log\cinic_resnet18\iter_pruning_0.6_lira.txt
cinic,resnet18,SWMR,47.681,60.088,63.885,4.672,2.76,log\cinic_resnet18\iter_pruning_0.6_slide_ml2_lira.txt
cinic,resnet18,RADD,60.783,53.779,54.87,1.632,0.899,log\cinic_resnet18\iter_pruning_0.6_risk_distill_swmr_lira.txt
cinic,vgg16bn,Base,66.789,67.664,71.924,2.753,1.565,log\cinic_vgg16bn\iter_pruning_0.6_lira.txt
cinic,vgg16bn,SWMR,61.898,54.833,56.079,1.037,0.593,log\cinic_vgg16bn\iter_pruning_0.6_slide_ml2_lira.txt
cinic,vgg16bn,RADD,64.663,53.454,54.253,1.244,0.706,log\cinic_vgg16bn\iter_pruning_0.6_risk_distill_swmr_lira.txt
cinic,densenet121,Base,67.256,67.101,71.801,2.874,1.615,log\cinic_densenet121\iter_pruning_0.6_lira.txt
cinic,densenet121,SWMR,57.925,56.613,58.608,1.625,0.879,log\cinic_densenet121\iter_pruning_0.6_slide_ml2_lira.txt
cinic,densenet121,RADD,66.263,53.596,54.711,1.42,0.694,log\cinic_densenet121\iter_pruning_0.6_risk_distill_swmr_lira.txt
cinic,mobilenetv2,Base,64.865,66.184,70.749,2.904,1.442,log\cinic_mobilenetv2\iter_pruning_0.6_lira.txt
cinic,mobilenetv2,SWMR,54.882,55.115,56.852,1.259,0.565,log\cinic_mobilenetv2\iter_pruning_0.6_slide_ml2_lira.txt
cinic,mobilenetv2,RADD,63.573,53.422,54.577,1.306,0.62,log\cinic_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_lira.txt
resisc45,resnet18,Base,71.242,83.59,90.755,18.695,13.783,log\resisc45_resnet18\iter_pruning_0.6_lira.txt
resisc45,resnet18,SWMR,42.265,61.823,66.233,5.829,3.889,log\resisc45_resnet18\iter_pruning_0.6_slide_ml2_lira.txt
resisc45,resnet18,RADD,57.094,53.371,55.345,2.39,1.384,log\resisc45_resnet18\iter_pruning_0.6_risk_distill_swmr_lira.txt
resisc45,vgg16bn,Base,68.677,67.3,72.306,4.162,2.205,log\resisc45_vgg16bn\iter_pruning_0.6_lira.txt
resisc45,vgg16bn,SWMR,58.056,56.124,58.385,1.667,0.785,log\resisc45_vgg16bn\iter_pruning_0.6_slide_ml2_lira.txt
resisc45,vgg16bn,RADD,63.928,56.837,58.959,1.473,0.75,log\resisc45_vgg16bn\iter_pruning_0.6_risk_distill_swmr_lira.txt
resisc45,densenet121,Base,79.679,67.372,72.779,4.33,2.319,log\resisc45_densenet121\iter_pruning_0.6_lira.txt
resisc45,densenet121,SWMR,20.02,50.27,50.403,0.829,0.37,log\resisc45_densenet121\iter_pruning_0.6_slide_ml2_lira.txt
resisc45,densenet121,RADD,75.531,55.409,58.146,1.764,1.138,log\resisc45_densenet121\iter_pruning_0.6_risk_distill_swmr_lira.txt
resisc45,mobilenetv2,Base,68.417,70.588,77.345,6.411,4.506,log\resisc45_mobilenetv2\iter_pruning_0.6_lira.txt
resisc45,mobilenetv2,SWMR,51.683,56.668,59.552,2.346,1.208,log\resisc45_mobilenetv2\iter_pruning_0.6_slide_ml2_lira.txt
resisc45,mobilenetv2,RADD,55.972,54.28,56.334,2.257,1.349,log\resisc45_mobilenetv2\iter_pruning_0.6_risk_distill_swmr_lira.txt
location,columnfc,Base,65.239,85.188,90.086,10.538,4.603,log\location_columnfc\iter_prunetxt_0.6_lira.txt
location,columnfc,SWMR,57.935,67.248,73.564,4.437,3.328,log\location_columnfc\iter_prunetxt_0.6_slide_ml2_lira.txt
location,columnfc,RADD,65.995,65.241,69.985,8.708,6.933,log\location_columnfc\iter_prunetxt_0.6_risk_distill_swmr_lira.txt
