dataset,arch,component,acc_contrib,privacy_contrib,full_acc,ablated_acc,full_avg_attack,ablated_avg_attack
cifar100,resnet18,Risk Budget,1.5150000000000006,-1.6713999999999913,41.067,39.552,66.1626,64.4912
cifar100,resnet18,KD,2.8119999999999976,-1.0334000000000003,41.067,38.255,66.1626,65.1292
cifar100,resnet18,Entropy,0.5700000000000003,0.20239999999999725,41.067,40.497,66.1626,66.365
cifar100,vgg16bn,Risk Budget,-1.0189999999999984,2.1433999999999997,34.048,35.067,64.83720000000001,66.98060000000001
cifar100,vgg16bn,KD,2.363000000000003,-1.344600000000007,34.048,31.685,64.83720000000001,63.4926
cifar100,vgg16bn,Entropy,0.33899999999999864,1.1661999999999892,34.048,33.709,64.83720000000001,66.0034
cifar100,densenet121,Risk Budget,0.0969999999999942,0.3328000000000131,47.37,47.273,60.53959999999999,60.872400000000006
cifar100,densenet121,KD,4.714999999999996,-0.49619999999999465,47.37,42.655,60.53959999999999,60.0434
cifar100,densenet121,Entropy,-0.02400000000000091,-0.3003999999999891,47.37,47.394,60.53959999999999,60.239200000000004
cifar100,mobilenetv2,Risk Budget,-4.861000000000004,0.8791999999999973,31.394,36.255,56.107600000000005,56.9868
cifar100,mobilenetv2,KD,5.709,0.11899999999999267,31.394,25.685,56.107600000000005,56.2266
cifar100,mobilenetv2,Entropy,-0.3760000000000012,0.23899999999999721,31.394,31.77,56.107600000000005,56.3466
cinic,resnet18,Risk Budget,-0.1389999999999958,0.3463999999999956,60.783,60.922,55.3634,55.709799999999994
cinic,resnet18,KD,4.386000000000003,0.18659999999999854,60.783,56.397,55.3634,55.55
cinic,resnet18,Entropy,-0.003999999999997783,0.5010000000000048,60.783,60.787,55.3634,55.8644
cinic,vgg16bn,Risk Budget,1.0899999999999963,0.1262000000000043,64.663,63.573,54.7376,54.863800000000005
cinic,vgg16bn,KD,4.351999999999997,-0.23980000000000246,64.663,60.311,54.7376,54.4978
cinic,vgg16bn,Entropy,0.7109999999999985,0.061800000000005184,64.663,63.952,54.7376,54.799400000000006
cinic,densenet121,Risk Budget,-0.6689999999999969,-0.066599999999994,66.263,66.932,55.176,55.10940000000001
cinic,densenet121,KD,4.432000000000002,-0.3068000000000026,66.263,61.831,55.176,54.8692
cinic,densenet121,Entropy,-0.3189999999999884,0.02400000000000091,66.263,66.582,55.176,55.2
cinic,mobilenetv2,Risk Budget,0.14300000000000068,-0.1782000000000039,63.573,63.43,55.0382,54.86
cinic,mobilenetv2,KD,3.4510000000000005,-0.25659999999999883,63.573,60.122,55.0382,54.781600000000005
cinic,mobilenetv2,Entropy,-0.3620000000000019,-0.03380000000000649,63.573,63.935,55.0382,55.0044
resisc45,resnet18,Risk Budget,-5.530999999999999,1.4919999999999902,57.094,62.625,56.4516,57.94359999999999
resisc45,resnet18,KD,7.814999999999998,0.7661999999999978,57.094,49.279,56.4516,57.2178
resisc45,resnet18,Entropy,-1.3829999999999956,-0.09219999999999118,57.094,58.477,56.4516,56.35940000000001
resisc45,vgg16bn,Risk Budget,-1.6030000000000086,0.4399999999999977,63.928,65.531,58.6648,59.1048
resisc45,vgg16bn,KD,0.3810000000000002,-0.19599999999999795,63.928,63.547,58.6648,58.4688
resisc45,vgg16bn,Entropy,0.14000000000000057,-0.037800000000004275,63.928,63.788,58.6648,58.626999999999995
resisc45,densenet121,Risk Budget,0.20000000000000284,0.8079999999999998,75.531,75.331,58.318200000000004,59.126200000000004
resisc45,densenet121,KD,6.373000000000005,0.12259999999999849,75.531,69.158,58.318200000000004,58.4408
resisc45,densenet121,Entropy,1.0020000000000095,-0.04040000000000532,75.531,74.529,58.318200000000004,58.2778
resisc45,mobilenetv2,Risk Budget,-9.017999999999994,1.9380000000000024,55.972,64.99,56.7984,58.7364
resisc45,mobilenetv2,KD,6.573,0.8011999999999944,55.972,49.399,56.7984,57.599599999999995
resisc45,mobilenetv2,Entropy,-3.146000000000001,0.23679999999999524,55.972,59.118,56.7984,57.035199999999996
