dataset,architecture,method,risk_bin,n_member,memscore_mean,exposure_mean,exposure_max,exposure_min,exposure_zero_frac
cifar100,resnet18,base,1,4500,0.2273058444261551,105.0,105.0,105.0,0.0
cifar100,resnet18,base,2,4500,0.30973291397094727,105.0,105.0,105.0,0.0
cifar100,resnet18,base,3,4500,0.3676714301109314,105.0,105.0,105.0,0.0
cifar100,resnet18,base,4,4500,0.43228647112846375,105.0,105.0,105.0,0.0
cifar100,resnet18,base,5,4500,0.5363695621490479,105.0,105.0,105.0,0.0
cifar100,resnet18,swmr,1,4500,0.2273058444261551,8.446666717529297,70.0,0.0,0.6633333333333333
cifar100,resnet18,swmr,2,4500,0.30973291397094727,43.96666717529297,100.0,0.0,0.07755555555555556
cifar100,resnet18,swmr,3,4500,0.3676714301109314,81.67778015136719,100.0,0.0,0.0013333333333333333
cifar100,resnet18,swmr,4,4500,0.43228647112846375,69.9433364868164,100.0,5.0,0.0
cifar100,resnet18,swmr,5,4500,0.5363695621490479,27.432222366333008,75.0,5.0,0.0
cifar100,resnet18,radd,1,4500,0.2273058444261551,45.7413330078125,56.0,41.0,0.0
cifar100,resnet18,radd,2,4500,0.30973291397094727,52.011112213134766,60.0,40.0,0.0
cifar100,resnet18,radd,3,4500,0.3676714301109314,52.54933166503906,60.0,40.0,0.0
cifar100,resnet18,radd,4,4500,0.43228647112846375,46.38044357299805,60.0,40.0,0.0
cifar100,resnet18,radd,5,4500,0.5363695621490479,36.6511116027832,60.0,1.0,0.0
