dataset,architecture,method,risk_bin,n_member,memscore_mean,exposure_mean,exposure_max,exposure_min,exposure_zero_frac
location,columnfc,base,1,360,0.13931439816951752,105.0,105.0,105.0,0.0
location,columnfc,base,2,361,0.3916526138782501,105.0,105.0,105.0,0.0
location,columnfc,base,3,360,0.5801829099655151,105.0,105.0,105.0,0.0
location,columnfc,base,4,361,0.7210386395454407,105.0,105.0,105.0,0.0
location,columnfc,base,5,361,0.8695404529571533,105.0,105.0,105.0,0.0
location,columnfc,swmr,1,360,0.13931439816951752,3.694444417953491,75.0,0.0,0.8944444444444445
location,columnfc,swmr,2,361,0.3916526138782501,9.210526466369629,75.0,0.0,0.8337950138504155
location,columnfc,swmr,3,360,0.5801829099655151,18.43055534362793,75.0,0.0,0.6722222222222223
location,columnfc,swmr,4,361,0.7210386395454407,54.68144226074219,75.0,0.0,0.12188365650969529
location,columnfc,swmr,5,361,0.8695404529571533,37.3684196472168,75.0,5.0,0.0
location,columnfc,radd,1,360,0.13931439816951752,38.04166793823242,105.0,15.0,0.0
location,columnfc,radd,2,361,0.3916526138782501,51.28254699707031,105.0,15.0,0.0
location,columnfc,radd,3,360,0.5801829099655151,34.338890075683594,105.0,1.0,0.0
location,columnfc,radd,4,361,0.7210386395454407,1.0,1.0,1.0,0.0
location,columnfc,radd,5,361,0.8695404529571533,1.0,1.0,1.0,0.0
