dataset,architecture,method,risk_bin,n_member,memscore_mean,exposure_mean,exposure_max,exposure_min,exposure_zero_frac
resisc45,resnet18,base,1,2268,0.4748789668083191,105.0,105.0,105.0,0.0
resisc45,resnet18,base,2,2268,0.619458794593811,105.0,105.0,105.0,0.0
resisc45,resnet18,base,3,2268,0.7350991368293762,105.0,105.0,105.0,0.0
resisc45,resnet18,base,4,2268,0.8453312516212463,105.0,105.0,105.0,0.0
resisc45,resnet18,base,5,2268,0.9550857543945312,105.0,105.0,105.0,0.0
resisc45,resnet18,swmr,1,2268,0.4748789668083191,16.516754150390625,100.0,0.0,0.6410934744268078
resisc45,resnet18,swmr,2,2268,0.619458794593811,32.64990997314453,100.0,0.0,0.2892416225749559
resisc45,resnet18,swmr,3,2268,0.7350991368293762,54.005733489990234,100.0,0.0,0.10141093474426807
resisc45,resnet18,swmr,4,2268,0.8453312516212463,67.21119689941406,100.0,5.0,0.0
resisc45,resnet18,swmr,5,2268,0.9550857543945312,37.94973373413086,100.0,5.0,0.0
resisc45,resnet18,radd,1,2268,0.4748789668083191,83.64462280273438,105.0,41.0,0.0
resisc45,resnet18,radd,2,2268,0.619458794593811,30.04894256591797,105.0,1.0,0.0
resisc45,resnet18,radd,3,2268,0.7350991368293762,1.0,1.0,1.0,0.0
resisc45,resnet18,radd,4,2268,0.8453312516212463,1.0,1.0,1.0,0.0
resisc45,resnet18,radd,5,2268,0.9550857543945312,1.0,1.0,1.0,0.0
