dataset,arch,combo,sparsity,method,acc,samia,conf,entr,mentr,hconf,avg_attack,time,path
cifar100,resnet18,cifar100_resnet18,0.4,base,42.061,94.104,91.856,90.655,91.944,91.967,92.1052,520.0837106704712,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p4_base.txt
cifar100,resnet18,cifar100_resnet18,0.4,swmr,38.267,78.156,75.477,73.963,75.501,75.235,75.6664,366.36900758743286,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p4_swmr.txt
cifar100,resnet18,cifar100_resnet18,0.4,radd,41.624,78.387,71.481,66.811,71.529,71.756,71.99279999999999,301.8509786128998,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p4_radd.txt
cifar100,resnet18,cifar100_resnet18,0.6,base,42.073,93.945,90.762,89.27,90.792,90.804,91.1146,469.72081422805786,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p6_base.txt
cifar100,resnet18,cifar100_resnet18,0.6,swmr,39.079,78.559,76.467,74.844,76.368,76.016,76.4508,371.6846127510071,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p6_swmr.txt
cifar100,resnet18,cifar100_resnet18,0.6,radd,42.073,78.553,71.529,66.449,71.535,71.648,71.9428,285.25546956062317,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p6_radd.txt
cifar100,resnet18,cifar100_resnet18,0.8,base,41.842,93.177,89.909,88.05,90.02,89.947,90.2206,496.32085156440735,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p8_base.txt
cifar100,resnet18,cifar100_resnet18,0.8,swmr,37.648,77.441,74.967,73.125,74.856,74.638,75.00540000000001,362.16844964027405,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p8_swmr.txt
cifar100,resnet18,cifar100_resnet18,0.8,radd,40.933,78.52,72.126,66.763,72.316,72.029,72.3508,259.643262386322,log\radd_sparsity_sensitivity\cifar100_resnet18\sp0p8_radd.txt
location,columnfc,location_columnfc,0.4,base,63.854,90.528,86.858,85.58,87.165,86.442,87.31460000000001,64.26145529747009,log\radd_sparsity_sensitivity\location_columnfc\sp0p4_base.txt
location,columnfc,location_columnfc,0.4,swmr,61.587,74.317,68.37,64.156,67.682,67.907,68.4864,37.51400089263916,log\radd_sparsity_sensitivity\location_columnfc\sp0p4_swmr.txt
location,columnfc,location_columnfc,0.4,radd,66.121,73.816,66.862,64.234,66.765,65.289,67.3932,43.9988067150116,log\radd_sparsity_sensitivity\location_columnfc\sp0p4_radd.txt
location,columnfc,location_columnfc,0.6,base,65.239,89.873,86.334,84.253,86.481,85.534,86.49499999999999,49.32162570953369,log\radd_sparsity_sensitivity\location_columnfc\sp0p6_base.txt
location,columnfc,location_columnfc,0.6,swmr,57.179,71.506,66.423,62.913,66.9,65.604,66.66919999999999,46.06251311302185,log\radd_sparsity_sensitivity\location_columnfc\sp0p6_swmr.txt
location,columnfc,location_columnfc,0.6,radd,66.247,72.314,65.367,62.588,64.995,63.692,65.7912,50.605550050735474,log\radd_sparsity_sensitivity\location_columnfc\sp0p6_radd.txt
location,columnfc,location_columnfc,0.8,base,64.861,88.602,82.149,79.392,81.865,82.13,82.82759999999999,43.441996574401855,log\radd_sparsity_sensitivity\location_columnfc\sp0p8_base.txt
location,columnfc,location_columnfc,0.8,swmr,58.312,72.738,64.72,61.24,65.138,65.907,65.9486,41.7046377658844,log\radd_sparsity_sensitivity\location_columnfc\sp0p8_swmr.txt
location,columnfc,location_columnfc,0.8,radd,64.484,70.504,62.817,61.508,63.241,62.216,64.0572,57.551106452941895,log\radd_sparsity_sensitivity\location_columnfc\sp0p8_radd.txt
resisc45,resnet18,resisc45_resnet18,0.4,base,70.14,87.073,82.81,82.458,82.926,83.137,83.6808,1465.881098985672,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p4_base.txt
resisc45,resnet18,resisc45_resnet18,0.4,swmr,37.455,68.028,60.213,55.386,60.379,60.054,60.812,1076.4246170520782,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p4_swmr.txt
resisc45,resnet18,resisc45_resnet18,0.4,radd,58.096,69.443,53.531,52.815,53.501,52.846,56.42719999999999,690.9200396537781,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p4_radd.txt
resisc45,resnet18,resisc45_resnet18,0.6,base,67.234,83.148,75.437,74.125,75.257,75.536,76.7006,896.0296859741211,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p6_base.txt
resisc45,resnet18,resisc45_resnet18,0.6,swmr,42.104,69.522,60.859,55.864,60.69,60.486,61.4842,1069.0905089378357,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p6_swmr.txt
resisc45,resnet18,resisc45_resnet18,0.6,radd,58.317,69.443,53.947,53.167,53.946,54.059,56.912400000000005,721.0206942558289,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p6_radd.txt
resisc45,resnet18,resisc45_resnet18,0.8,base,70.541,87.177,82.696,81.857,82.842,83.096,83.5336,1452.726568222046,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p8_base.txt
resisc45,resnet18,resisc45_resnet18,0.8,swmr,44.629,70.135,63.734,60.317,63.889,64.146,64.4442,958.1939218044281,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p8_swmr.txt
resisc45,resnet18,resisc45_resnet18,0.8,radd,59.539,69.449,53.471,52.409,53.246,53.673,56.4496,727.1350703239441,log\radd_sparsity_sensitivity\resisc45_resnet18\sp0p8_radd.txt
