combo,pruning_way,defense,prediction_accuracy,conf_attack_accuracy,samia_attack_accuracy,complete,path
cifar100_vgg16bn,iterative,base,36.23,82.123,88.433,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\iterative_base.txt
cifar100_vgg16bn,iterative,rsw,35.042,66.806,74.556,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\iterative_rsw.txt
cifar100_vgg16bn,iterative,rmr,34.885,77.721,84.628,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\iterative_rmr.txt
cifar100_vgg16bn,iterative,swmr,32.218,67.974,76.211,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\iterative_swmr.txt
cifar100_vgg16bn,iterative,risk_distill,35.37,66.051,76.072,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\iterative_risk_distill.txt
cifar100_vgg16bn,oneshot,base,35.224,76.466,83.18,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\oneshot_base.txt
cifar100_vgg16bn,oneshot,rsw,35.297,71.418,81.057,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\oneshot_rsw.txt
cifar100_vgg16bn,oneshot,rmr,35.952,73.916,82.911,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\oneshot_rmr.txt
cifar100_vgg16bn,oneshot,swmr,33.782,71.589,80.257,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\oneshot_swmr.txt
cifar100_vgg16bn,oneshot,risk_distill,35.77,71.51,80.8,1,log/rd_pruning_way_fig8\cifar100_vgg16bn\oneshot_risk_distill.txt
cinic_densenet121,iterative,base,66.94,66.194,72.96,1,log/rd_pruning_way_fig8\cinic_densenet121\iterative_base.txt
cinic_densenet121,iterative,rsw,66.086,55.819,62.908,1,log/rd_pruning_way_fig8\cinic_densenet121\iterative_rsw.txt
cinic_densenet121,iterative,rmr,66.89,55.093,63.114,1,log/rd_pruning_way_fig8\cinic_densenet121\iterative_rmr.txt
cinic_densenet121,iterative,swmr,56.902,56.51,63.568,1,log/rd_pruning_way_fig8\cinic_densenet121\iterative_swmr.txt
cinic_densenet121,iterative,risk_distill,66.166,53.299,63.011,1,log/rd_pruning_way_fig8\cinic_densenet121\iterative_risk_distill.txt
cinic_densenet121,oneshot,base,68.54,64.489,71.289,1,log/rd_pruning_way_fig8\cinic_densenet121\oneshot_base.txt
cinic_densenet121,oneshot,rsw,67.269,59.186,66.724,1,log/rd_pruning_way_fig8\cinic_densenet121\oneshot_rsw.txt
cinic_densenet121,oneshot,rmr,66.292,57.919,65.856,1,log/rd_pruning_way_fig8\cinic_densenet121\oneshot_rmr.txt
cinic_densenet121,oneshot,swmr,64.886,63.222,70.504,1,log/rd_pruning_way_fig8\cinic_densenet121\oneshot_swmr.txt
cinic_densenet121,oneshot,risk_distill,68.384,58.899,66.718,1,log/rd_pruning_way_fig8\cinic_densenet121\oneshot_risk_distill.txt
resisc45_resnet18,iterative,base,65.431,74.629,81.335,1,log/rd_pruning_way_fig8\resisc45_resnet18\iterative_base.txt
resisc45_resnet18,iterative,rsw,67.475,62.575,69.124,1,log/rd_pruning_way_fig8\resisc45_resnet18\iterative_rsw.txt
resisc45_resnet18,iterative,rmr,62.365,63.32,72.413,1,log/rd_pruning_way_fig8\resisc45_resnet18\iterative_rmr.txt
resisc45_resnet18,iterative,swmr,44.509,62.082,69.798,1,log/rd_pruning_way_fig8\resisc45_resnet18\iterative_swmr.txt
resisc45_resnet18,iterative,risk_distill,57.655,52.884,69.443,1,log/rd_pruning_way_fig8\resisc45_resnet18\iterative_risk_distill.txt
resisc45_resnet18,oneshot,base,66.172,63.287,74.507,1,log/rd_pruning_way_fig8\resisc45_resnet18\oneshot_base.txt
resisc45_resnet18,oneshot,rsw,65.21,61.214,72.229,1,log/rd_pruning_way_fig8\resisc45_resnet18\oneshot_rsw.txt
resisc45_resnet18,oneshot,rmr,59.9,58.229,69.865,1,log/rd_pruning_way_fig8\resisc45_resnet18\oneshot_rmr.txt
resisc45_resnet18,oneshot,swmr,27.776,54.964,65.854,1,log/rd_pruning_way_fig8\resisc45_resnet18\oneshot_swmr.txt
resisc45_resnet18,oneshot,risk_distill,61.062,55.208,68.01,1,log/rd_pruning_way_fig8\resisc45_resnet18\oneshot_risk_distill.txt
location_columnfc,iterative,base,65.239,86.334,89.873,1,log/rd_pruning_way_fig8\location_columnfc\iterative_base.txt
location_columnfc,iterative,rsw,63.35,65.285,74.201,1,log/rd_pruning_way_fig8\location_columnfc\iterative_rsw.txt
location_columnfc,iterative,rmr,65.995,75.503,83.827,1,log/rd_pruning_way_fig8\location_columnfc\iterative_rmr.txt
location_columnfc,iterative,swmr,57.179,66.423,71.506,1,log/rd_pruning_way_fig8\location_columnfc\iterative_swmr.txt
location_columnfc,iterative,risk_distill,66.247,65.367,72.314,1,log/rd_pruning_way_fig8\location_columnfc\iterative_risk_distill.txt
location_columnfc,oneshot,base,65.239,76.478,83.827,1,log/rd_pruning_way_fig8\location_columnfc\oneshot_base.txt
location_columnfc,oneshot,rsw,65.239,71.037,79.361,1,log/rd_pruning_way_fig8\location_columnfc\oneshot_rsw.txt
location_columnfc,oneshot,rmr,64.484,72.113,80.901,1,log/rd_pruning_way_fig8\location_columnfc\oneshot_rmr.txt
location_columnfc,oneshot,swmr,64.736,71.974,82.172,1,log/rd_pruning_way_fig8\location_columnfc\oneshot_swmr.txt
location_columnfc,oneshot,risk_distill,66.247,70.823,78.783,1,log/rd_pruning_way_fig8\location_columnfc\oneshot_risk_distill.txt
