dataset,arch,combo,group,value,acc,samia,conf,entr,mentr,hconf,nn,nn_top3,nn_cls,avg_threshold,avg_nn,avg_all_mia,distill_weight,high_risk_cap,high_risk_ratio,path
cifar100,resnet18,cifar100_resnet18,high_risk_cap,0.0,41.503,77.74,70.966,66.23,71.099,71.132,73.678,73.57073170731708,76.84878048780487,69.85675,74.69917073170731,72.65806402439024,1.0,0.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_cap_0.txt
cifar100,resnet18,cifar100_resnet18,high_risk_cap,1.0,41.867,78.517,71.769,67.016,71.869,71.781,74.153,73.90894308943089,77.80813008130082,70.60875000000001,75.2900243902439,73.35275914634147,1.0,1.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_cap_1.txt
cifar100,resnet18,cifar100_resnet18,high_risk_cap,2.0,41.479,78.228,71.395,65.734,71.378,71.19,73.893,73.59674796747967,77.55772357723578,69.92425,75.01582384823848,72.87155894308944,1.0,2.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_cap_2.txt
cifar100,resnet18,cifar100_resnet18,high_risk_cap,3.0,42.182,79.093,71.885,66.504,72.065,71.875,74.224,74.08455284552845,78.1170731707317,70.58225,75.47520867208671,73.48095325203252,1.0,3.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_cap_3.txt
cifar100,resnet18,cifar100_resnet18,high_risk_ratio,0.05,41.661,78.553,71.099,66.419,71.282,71.394,73.519,73.33658536585367,77.4829268292683,70.0485,74.77950406504065,72.88568902439025,1.0,1.0,0.05,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_ratio_0p05.txt
cifar100,resnet18,cifar100_resnet18,high_risk_ratio,0.1,41.527,76.702,70.99,66.361,70.996,70.881,72.969,73.01138211382114,75.94146341463414,69.80699999999999,73.97394850948508,72.2314806910569,1.0,1.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_ratio_0p1.txt
cifar100,resnet18,cifar100_resnet18,high_risk_ratio,0.2,40.812,76.907,70.901,66.253,70.987,70.701,73.193,73.16422764227643,76.04552845528455,69.7105,74.13425203252034,72.26896951219513,1.0,1.0,0.2,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_ratio_0p2.txt
cifar100,resnet18,cifar100_resnet18,high_risk_ratio,0.3,42.315,78.052,71.13,66.384,71.061,70.95,73.724,73.5739837398374,77.1869918699187,69.88125000000001,74.82832520325204,72.7577469512195,1.0,1.0,0.3,log/rd_sensitivity\cifar100_resnet18\sens_high_risk_ratio_0p3.txt
cifar100,resnet18,cifar100_resnet18,distill_weight,0.0,38.061,78.758,72.631,66.864,72.508,72.33,73.951,73.88617886178862,77.5609756097561,71.08324999999999,75.13271815718157,73.56114430894308,0.0,1.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_distill_weight_0.txt
cifar100,resnet18,cifar100_resnet18,distill_weight,0.5,39.915,78.055,71.704,66.874,71.757,71.837,73.239,73.2520325203252,76.92357723577236,70.54299999999999,74.47153658536585,72.95520121951219,0.5,1.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_distill_weight_0p5.txt
cifar100,resnet18,cifar100_resnet18,distill_weight,1.0,40.436,76.254,70.561,65.822,70.487,70.444,72.979,72.84878048780487,75.5869918699187,69.3285,73.80492411924119,71.87284654471546,1.0,1.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_distill_weight_1.txt
cifar100,resnet18,cifar100_resnet18,distill_weight,2.0,41.964,77.428,71.014,65.571,70.951,70.791,73.541,73.64878048780488,76.91382113821138,69.58175,74.70120054200542,72.48232520325203,2.0,1.0,0.1,log/rd_sensitivity\cifar100_resnet18\sens_distill_weight_2.txt
location,columnfc,location_columnfc,high_risk_cap,0.0,65.995,72.815,64.72,60.956,64.402,63.433,69.426,69.42626107046593,70.08086253369272,63.37775,69.64437453471955,66.90739045051984,1.0,0.0,0.1,log/rd_sensitivity\location_columnfc\sens_high_risk_cap_0.txt
location,columnfc,location_columnfc,high_risk_cap,1.0,66.247,72.314,65.367,62.588,64.995,63.692,69.426,69.42626107046593,70.11936850211782,64.1605,69.65720985752792,67.24095369657297,1.0,1.0,0.1,log/rd_sensitivity\location_columnfc\sens_high_risk_cap_1.txt
location,columnfc,location_columnfc,high_risk_cap,2.0,67.128,73.277,65.428,61.35,65.23,64.886,69.426,69.42626107046593,70.15787447054294,64.2235,69.67004518033629,67.39764194262611,1.0,2.0,0.1,log/rd_sensitivity\location_columnfc\sens_high_risk_cap_2.txt
location,columnfc,location_columnfc,high_risk_cap,3.0,65.113,72.93,65.121,61.692,65.093,63.532,69.426,69.42626107046593,69.9268386599923,63.8595,69.59303324348609,67.14338746630727,1.0,3.0,0.1,log/rd_sensitivity\location_columnfc\sens_high_risk_cap_3.txt
location,columnfc,location_columnfc,high_risk_ratio,0.05,66.877,73.277,65.937,63.027,66.499,64.978,69.426,69.42626107046593,70.08086253369272,65.11025,69.64437453471955,67.83139045051983,1.0,1.0,0.05,log/rd_sensitivity\location_columnfc\sens_high_risk_ratio_0p05.txt
location,columnfc,location_columnfc,high_risk_ratio,0.1,66.247,72.314,65.367,62.588,64.995,63.692,69.426,69.42626107046593,70.11936850211782,64.1605,69.65720985752792,67.24095369657297,1.0,1.0,0.1,log/rd_sensitivity\location_columnfc\sens_high_risk_ratio_0p1.txt
location,columnfc,location_columnfc,high_risk_ratio,0.2,66.121,72.892,65.579,62.061,66.315,63.326,69.426,69.42626107046593,70.08086253369272,64.32025,69.64437453471955,67.38826545051984,1.0,1.0,0.2,log/rd_sensitivity\location_columnfc\sens_high_risk_ratio_0p2.txt
location,columnfc,location_columnfc,high_risk_ratio,0.3,66.499,72.969,63.919,62.624,64.811,63.987,69.426,69.42626107046593,70.04235656526761,63.83525,69.63153921191117,67.15057720446669,1.0,1.0,0.3,log/rd_sensitivity\location_columnfc\sens_high_risk_ratio_0p3.txt
location,columnfc,location_columnfc,distill_weight,0.0,62.469,69.118,63.437,62.519,64.207,63.907,69.426,69.42626107046593,69.61879091259145,63.5175,69.49035066101914,66.45738149788218,0.0,1.0,0.1,log/rd_sensitivity\location_columnfc\sens_distill_weight_0.txt
location,columnfc,location_columnfc,distill_weight,0.5,65.113,70.235,64.201,62.065,64.261,63.724,69.426,69.42626107046593,69.9268386599923,63.562749999999994,69.59303324348609,66.65813746630727,0.5,1.0,0.1,log/rd_sensitivity\location_columnfc\sens_distill_weight_0p5.txt
location,columnfc,location_columnfc,distill_weight,1.0,66.247,72.314,65.367,62.588,64.995,63.692,69.426,69.42626107046593,70.11936850211782,64.1605,69.65720985752792,67.24095369657297,1.0,1.0,0.1,log/rd_sensitivity\location_columnfc\sens_distill_weight_1.txt
location,columnfc,location_columnfc,distill_weight,2.0,65.743,75.472,67.354,63.461,66.893,65.893,69.388,69.42626107046593,70.23488640739315,65.90025,69.68304915928637,68.51526843473238,2.0,1.0,0.1,log/rd_sensitivity\location_columnfc\sens_distill_weight_2.txt
resisc45,resnet18,resisc45_resnet18,high_risk_cap,0.0,58.236,69.443,53.126,52.159,53.026,52.82,69.443,69.44274341702388,69.44274341702388,52.78275,69.44282894468259,61.11281085425597,1.0,0.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_cap_0.txt
resisc45,resnet18,resisc45_resnet18,high_risk_cap,1.0,58.557,69.443,53.278,53.462,53.298,53.863,69.443,69.44274341702388,69.44274341702388,53.47525,69.44282894468259,61.459060854255966,1.0,1.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_cap_1.txt
resisc45,resnet18,resisc45_resnet18,high_risk_cap,2.0,58.116,69.443,53.591,52.691,53.481,53.513,69.443,69.44274341702388,69.44274341702388,53.319,69.44282894468259,61.380935854255966,1.0,2.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_cap_2.txt
resisc45,resnet18,resisc45_resnet18,high_risk_cap,3.0,58.697,69.412,53.077,52.906,53.105,53.729,69.443,69.44274341702388,69.44274341702388,53.20425,69.44282894468259,61.319685854255965,1.0,3.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_cap_3.txt
resisc45,resnet18,resisc45_resnet18,high_risk_ratio,0.05,56.473,69.4,53.03,52.358,53.362,53.629,69.443,69.44274341702388,69.44274341702388,53.09475,69.44282894468259,61.263435854255974,1.0,1.0,0.05,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_ratio_0p05.txt
resisc45,resnet18,resisc45_resnet18,high_risk_ratio,0.1,58.096,69.443,53.292,52.853,53.158,53.709,69.443,69.44274341702388,69.44274341702388,53.253,69.44282894468259,61.347935854255965,1.0,1.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_ratio_0p1.txt
resisc45,resnet18,resisc45_resnet18,high_risk_ratio,0.2,59.88,69.443,52.882,52.736,53.213,53.735,69.443,69.44274341702388,69.44274341702388,53.14149999999999,69.44282894468259,61.29218585425597,1.0,1.0,0.2,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_ratio_0p2.txt
resisc45,resnet18,resisc45_resnet18,high_risk_ratio,0.3,57.335,69.437,53.898,53.195,53.948,53.607,69.443,69.44274341702388,69.44274341702388,53.662,69.44282894468259,61.55168585425597,1.0,1.0,0.3,log/rd_sensitivity\resisc45_resnet18\sens_high_risk_ratio_0p3.txt
resisc45,resnet18,resisc45_resnet18,distill_weight,0.0,48.076,69.443,53.648,53.088,53.606,53.882,69.443,69.44274341702388,69.44274341702388,53.556000000000004,69.44282894468259,61.49943585425597,0.0,1.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_distill_weight_0.txt
resisc45,resnet18,resisc45_resnet18,distill_weight,0.5,55.03,69.443,53.249,52.478,53.278,53.364,69.443,69.44274341702388,69.44274341702388,53.09225,69.44282894468259,61.26756085425596,0.5,1.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_distill_weight_0p5.txt
resisc45,resnet18,resisc45_resnet18,distill_weight,1.0,58.477,69.443,53.565,52.371,53.503,53.356,69.443,69.44274341702388,69.44274341702388,53.198750000000004,69.44282894468259,61.320810854255974,1.0,1.0,0.1,log/rd_sensitivity\resisc45_resnet18\sens_distill_weight_1.txt
