combo,pruner,defense,prediction_accuracy,conf_attack_accuracy,samia_attack_accuracy,complete,path
cifar100_resnet18,l1,base,40.364,91.838,94.172,1,log/rd_structured_fig9\cifar100_resnet18\l1_base.txt
cifar100_resnet18,l1,rsw,34.545,63.998,73.167,1,log/rd_structured_fig9\cifar100_resnet18\l1_rsw.txt
cifar100_resnet18,l1,rmr,38.158,86.137,91.151,1,log/rd_structured_fig9\cifar100_resnet18\l1_rmr.txt
cifar100_resnet18,l1,swmr,34.097,69.605,75.073,1,log/rd_structured_fig9\cifar100_resnet18\l1_swmr.txt
cifar100_resnet18,l1,risk_distill,38.279,64.664,74.738,1,log/rd_structured_fig9\cifar100_resnet18\l1_risk_distill.txt
cifar100_resnet18,l2,base,39.818,90.369,93.58,1,log/rd_structured_fig9\cifar100_resnet18\l2_base.txt
cifar100_resnet18,l2,rsw,33.418,64.393,73.151,1,log/rd_structured_fig9\cifar100_resnet18\l2_rsw.txt
cifar100_resnet18,l2,rmr,39.636,90.888,93.431,1,log/rd_structured_fig9\cifar100_resnet18\l2_rmr.txt
cifar100_resnet18,l2,swmr,33.6,68.874,73.62,1,log/rd_structured_fig9\cifar100_resnet18\l2_swmr.txt
cifar100_resnet18,l2,risk_distill,39.091,64.407,74.94,1,log/rd_structured_fig9\cifar100_resnet18\l2_risk_distill.txt
cifar100_densenet121,l1,base,46.388,78.951,85.889,1,log/rd_structured_fig9\cifar100_densenet121\l1_base.txt
cifar100_densenet121,l1,rsw,44.303,61.556,73.171,1,log/rd_structured_fig9\cifar100_densenet121\l1_rsw.txt
cifar100_densenet121,l1,rmr,46.327,75.047,83.2,1,log/rd_structured_fig9\cifar100_densenet121\l1_rmr.txt
cifar100_densenet121,l1,swmr,41.188,67.962,75.424,1,log/rd_structured_fig9\cifar100_densenet121\l1_swmr.txt
cifar100_densenet121,l1,risk_distill,45.515,58.812,72.332,1,log/rd_structured_fig9\cifar100_densenet121\l1_risk_distill.txt
cifar100_densenet121,l2,base,46.836,79.535,85.587,1,log/rd_structured_fig9\cifar100_densenet121\l2_base.txt
cifar100_densenet121,l2,rsw,44.17,60.831,73.167,1,log/rd_structured_fig9\cifar100_densenet121\l2_rsw.txt
cifar100_densenet121,l2,rmr,45.842,74.778,81.984,1,log/rd_structured_fig9\cifar100_densenet121\l2_rmr.txt
cifar100_densenet121,l2,swmr,38.048,64.543,71.993,1,log/rd_structured_fig9\cifar100_densenet121\l2_swmr.txt
cifar100_densenet121,l2,risk_distill,46.158,58.48,72.312,1,log/rd_structured_fig9\cifar100_densenet121\l2_risk_distill.txt
cinic_vgg16bn,l1,base,64.407,68.156,74.446,1,log/rd_structured_fig9\cinic_vgg16bn\l1_base.txt
cinic_vgg16bn,l1,rsw,62.782,56.94,63.768,1,log/rd_structured_fig9\cinic_vgg16bn\l1_rsw.txt
cinic_vgg16bn,l1,rmr,63.88,60.645,67.381,1,log/rd_structured_fig9\cinic_vgg16bn\l1_rmr.txt
cinic_vgg16bn,l1,swmr,59.874,53.761,61.702,1,log/rd_structured_fig9\cinic_vgg16bn\l1_swmr.txt
cinic_vgg16bn,l1,risk_distill,62.054,53.425,62.74,1,log/rd_structured_fig9\cinic_vgg16bn\l1_risk_distill.txt
cinic_vgg16bn,l2,base,63.544,66.396,72.846,1,log/rd_structured_fig9\cinic_vgg16bn\l2_base.txt
cinic_vgg16bn,l2,rsw,60.686,57.579,63.71,1,log/rd_structured_fig9\cinic_vgg16bn\l2_rsw.txt
cinic_vgg16bn,l2,rmr,64.562,59.78,66.609,1,log/rd_structured_fig9\cinic_vgg16bn\l2_rmr.txt
cinic_vgg16bn,l2,swmr,60.332,54.43,62.532,1,log/rd_structured_fig9\cinic_vgg16bn\l2_swmr.txt
cinic_vgg16bn,l2,risk_distill,61.751,53.774,62.392,1,log/rd_structured_fig9\cinic_vgg16bn\l2_risk_distill.txt
resisc45_resnet18,l1,base,67.014,75.815,82.939,1,log/rd_structured_fig9\resisc45_resnet18\l1_base.txt
resisc45_resnet18,l1,rsw,64.449,62.144,69.069,1,log/rd_structured_fig9\resisc45_resnet18\l1_rsw.txt
resisc45_resnet18,l1,rmr,58.918,63.378,71.623,1,log/rd_structured_fig9\resisc45_resnet18\l1_rmr.txt
resisc45_resnet18,l1,swmr,39.92,60.479,69.816,1,log/rd_structured_fig9\resisc45_resnet18\l1_swmr.txt
resisc45_resnet18,l1,risk_distill,55.631,53.758,69.43,1,log/rd_structured_fig9\resisc45_resnet18\l1_risk_distill.txt
resisc45_resnet18,l2,base,68.497,81.658,86.761,1,log/rd_structured_fig9\resisc45_resnet18\l2_base.txt
resisc45_resnet18,l2,rsw,62.966,61.447,68.953,1,log/rd_structured_fig9\resisc45_resnet18\l2_rsw.txt
resisc45_resnet18,l2,rmr,58.717,63.252,71.684,1,log/rd_structured_fig9\resisc45_resnet18\l2_rmr.txt
resisc45_resnet18,l2,swmr,43.727,61.703,69.253,1,log/rd_structured_fig9\resisc45_resnet18\l2_swmr.txt
resisc45_resnet18,l2,risk_distill,59.018,53.11,69.443,1,log/rd_structured_fig9\resisc45_resnet18\l2_risk_distill.txt
