panel,method,prediction_accuracy,attack_accuracy,source
(a) ResNet18 (Conf),Base,75.1,66.7,paper
(a) ResNet18 (Conf),RSW,72.6,55.1,paper
(a) ResNet18 (Conf),SWMR,74.5,56.2,paper
(a) ResNet18 (Conf),RSW-Auto,74.0,56.7,paper
(a) ResNet18 (Conf),SWMR-Auto,73.3,56.1,paper
(a) ResNet18 (Conf),PPB,71.8,55.7,paper
(a) ResNet18 (Conf),ADV,67.1,57.4,paper
(a) ResNet18 (Conf),DP,74.4,63.2,paper
(a) ResNet18 (Conf),RelaxLoss,70.9,54.1,paper
(b) DenseNet121 (Conf),Base,51.4,85.5,paper
(b) DenseNet121 (Conf),RSW,48.9,61.8,paper
(b) DenseNet121 (Conf),SWMR,48.9,61.2,paper
(b) DenseNet121 (Conf),RSW-Auto,48.9,62.5,paper
(b) DenseNet121 (Conf),SWMR-Auto,48.8,61.5,paper
(b) DenseNet121 (Conf),PPB,49.7,76.5,paper
(b) DenseNet121 (Conf),ADV,48.7,70.8,paper
(b) DenseNet121 (Conf),DP,52.6,73.5,paper
(b) DenseNet121 (Conf),RelaxLoss,50.4,65.8,paper
(c) VGG16 (SAMIA),Base,66.2,74.6,paper
(c) VGG16 (SAMIA),RSW,60.9,62.8,paper
(c) VGG16 (SAMIA),SWMR,60.9,62.9,paper
(c) VGG16 (SAMIA),RSW-Auto,64.8,63.0,paper
(c) VGG16 (SAMIA),SWMR-Auto,60.8,62.9,paper
(c) VGG16 (SAMIA),PPB,63.8,64.0,paper
(c) VGG16 (SAMIA),ADV,61.0,65.4,paper
(c) VGG16 (SAMIA),DP,63.3,68.6,paper
(c) VGG16 (SAMIA),RelaxLoss,63.8,63.2,paper
(d) FC (SAMIA),Base,64.1,90.6,paper
(d) FC (SAMIA),RSW,64.0,75.6,paper
(d) FC (SAMIA),SWMR,63.3,71.8,paper
(d) FC (SAMIA),RSW-Auto,64.0,75.7,paper
(d) FC (SAMIA),SWMR-Auto,63.3,71.8,paper
(d) FC (SAMIA),PPB,62.4,83.4,paper
(d) FC (SAMIA),ADV,58.9,78.7,paper
(d) FC (SAMIA),DP,55.0,81.0,paper
(d) FC (SAMIA),RelaxLoss,60.3,76.5,paper
