combo,panel_metric,method,label,prediction_accuracy,attack_accuracy,selected,complete,source,path
cifar10_resnet18,conf,base,Base,75.394,67.039,1,1,ordinary_log,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,conf,rsw,RSW,72.63,55.145,1,1,ordinary_log,log\cifar10_resnet18\iter_pruning_0.6_slide_re.txt
cifar10_resnet18,conf,swmr,SWMR,74.473,56.22,1,1,ordinary_log,log\cifar10_resnet18\iter_pruning_0.6_slide_ml2.txt
cifar10_resnet18,conf,rsw_auto,RSW-Auto,75.212,59.569,1,1,l2h_w1000_s50,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,conf,swmr_auto,SWMR-Auto,nan,nan,0,0,missing,
cifar10_resnet18,conf,ppb,PPB,71.939,55.537,1,1,ordinary_log,log\cifar10_resnet18\iter_pruning_0.6_ppb.txt
cifar10_resnet18,conf,adv,ADV,69.976,58.571,1,1,ordinary_log,log\cifar10_resnet18\iter_pruning_0.6_adv.txt
cifar10_resnet18,conf,dp,DP,40.97,54.174,1,1,ordinary_log,log\cifar10_resnet18\iter_pruning_0.6_dp.txt
cifar10_resnet18,conf,relaxloss,RelaxLoss,70.788,53.677,1,1,ordinary_log,log\cifar10_resnet18\iter_pruning_0.6_relaxloss.txt
cifar100_densenet121,conf,base,Base,50.0,81.354,1,1,ordinary_log,log\cifar100_densenet121\iter_pruning_0.6_.txt
cifar100_densenet121,conf,rsw,RSW,49.285,62.257,1,1,ordinary_log,log\cifar100_densenet121\iter_pruning_0.6_slide_re.txt
cifar100_densenet121,conf,swmr,SWMR,40.945,60.274,1,1,ordinary_log,log\cifar100_densenet121\iter_pruning_0.6_slide_ml2.txt
cifar100_densenet121,conf,rsw_auto,RSW-Auto,50.909,76.779,1,1,h2l_w100_s10,log/wemem_fig11_auto_grid\cifar100_densenet121\rsw_h2l_w100_s10.txt
cifar100_densenet121,conf,swmr_auto,SWMR-Auto,nan,nan,0,0,missing,
cifar100_densenet121,conf,ppb,PPB,46.667,67.565,1,1,ordinary_log,log\cifar100_densenet121\iter_pruning_0.6_ppb.txt
cifar100_densenet121,conf,adv,ADV,40.727,60.852,1,1,ordinary_log,log\cifar100_densenet121\iter_pruning_0.6_adv.txt
cifar100_densenet121,conf,dp,DP,7.297,52.18,1,1,ordinary_log,log\cifar100_densenet121\iter_pruning_0.6_dp.txt
cifar100_densenet121,conf,relaxloss,RelaxLoss,49.636,66.398,1,1,ordinary_log,log\cifar100_densenet121\iter_pruning_0.6_relaxloss.txt
cinic_vgg16bn,samia,base,Base,66.789,74.234,1,1,ordinary_log,log\cinic_vgg16bn\iter_pruning_0.6_.txt
cinic_vgg16bn,samia,rsw,RSW,61.578,63.159,1,1,ordinary_log,log\cinic_vgg16bn\iter_pruning_0.6_slide_re.txt
cinic_vgg16bn,samia,swmr,SWMR,61.898,62.146,1,1,ordinary_log,log\cinic_vgg16bn\iter_pruning_0.6_slide_ml2.txt
cinic_vgg16bn,samia,rsw_auto,RSW-Auto,65.53,67.384,1,1,h2l_w1800_s100,log/wemem_fig11_auto_grid\cinic_vgg16bn\rsw_h2l_w1800_s100.txt
cinic_vgg16bn,samia,swmr_auto,SWMR-Auto,nan,nan,0,0,missing,
cinic_vgg16bn,samia,ppb,PPB,57.487,63.022,1,1,ordinary_log,log\cinic_vgg16bn\iter_pruning_0.6_ppb.txt
cinic_vgg16bn,samia,adv,ADV,64.874,63.623,1,1,ordinary_log,log\cinic_vgg16bn\iter_pruning_0.6_adv.txt
cinic_vgg16bn,samia,dp,DP,55.918,62.706,1,1,ordinary_log,log\cinic_vgg16bn\iter_pruning_0.6_dp.txt
cinic_vgg16bn,samia,relaxloss,RelaxLoss,64.095,63.33,1,1,ordinary_log,log\cinic_vgg16bn\iter_pruning_0.6_relaxloss.txt
location_columnfc,samia,base,Base,65.239,90.065,1,1,ordinary_log,log\location_columnfc\iter_prunetxt_0.6_.txt
location_columnfc,samia,rsw,RSW,64.358,73.97,1,1,ordinary_log,log\location_columnfc\iter_prunetxt_0.6_slide_re.txt
location_columnfc,samia,swmr,SWMR,57.809,72.853,1,1,ordinary_log,log\location_columnfc\iter_prunetxt_0.6_slide_ml2.txt
location_columnfc,samia,rsw_auto,RSW-Auto,65.113,71.005,1,1,l2h_w35_s1,log/wemem_fig11_auto_grid\location_columnfc\rsw_l2h_w35_s1.txt
location_columnfc,samia,swmr_auto,SWMR-Auto,64.484,69.773,1,1,l2h_w35_s1,log/wemem_fig11_auto_grid\location_columnfc\swmr_l2h_w35_s1.txt
location_columnfc,samia,ppb,PPB,61.965,88.102,1,1,ordinary_log,log\location_columnfc\iter_prunetxt_0.6_ppb.txt
location_columnfc,samia,adv,ADV,46.348,73.97,1,1,ordinary_log,log\location_columnfc\iter_prunetxt_0.6_adv.txt
location_columnfc,samia,dp,DP,62.217,81.748,1,1,ordinary_log,log\location_columnfc\iter_prunetxt_0.6_dp.txt
location_columnfc,samia,relaxloss,RelaxLoss,57.935,75.241,1,1,ordinary_log,log\location_columnfc\iter_prunetxt_0.6_relaxloss.txt
