combo,method,direction,width,stride,setting,attack,attack_accuracy,path
cifar10_resnet18,base,base,,,Base,Conf,67.039,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,base,base,,,Base,Entr,64.713,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,base,base,,,Base,Mentr,67.058,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,base,base,,,Base,Hconf,67.122,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,base,base,,,Base,SAMIA,79.854,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,base,base,,,Base,NN,77.483,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,base,base,,,Base,Top3-NN,77.53495934959349,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,base,base,,,Base,Cl-NN,80.20162601626016,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,rsw,h2l,1500,50,1500-50,Conf,66.614,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,rsw,h2l,1500,50,1500-50,Entr,64.704,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,rsw,h2l,1500,50,1500-50,Mentr,66.564,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,rsw,h2l,1500,50,1500-50,Hconf,66.663,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,rsw,h2l,1500,50,1500-50,SAMIA,79.122,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,rsw,h2l,1500,50,1500-50,NN,76.644,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,rsw,h2l,1500,50,1500-50,Top3-NN,76.8,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
