combo,defense,defense_label,prediction_accuracy,conf_attack_accuracy,samia_attack_accuracy,complete,path
cifar10_resnet18,base,Base,75.394,67.039,79.854,1,log\cifar10_resnet18\iter_pruning_0.6_.txt
cifar10_resnet18,ppb,PPB,71.939,55.537,73.236,1,log\cifar10_resnet18\iter_pruning_0.6_ppb.txt
cifar10_resnet18,adv,ADV,69.976,58.571,74.644,1,log\cifar10_resnet18\iter_pruning_0.6_adv.txt
cifar10_resnet18,dp,DP,40.97,54.174,73.216,1,log\cifar10_resnet18\iter_pruning_0.6_dp.txt
cifar10_resnet18,relaxloss,ReLo,70.788,53.677,73.171,1,log\cifar10_resnet18\iter_pruning_0.6_relaxloss.txt
cifar10_resnet18,rsw,RSW,72.63,55.145,73.128,1,log\cifar10_resnet18\iter_pruning_0.6_slide_re.txt
cifar10_resnet18,rmr,RMR,73.903,59.556,74.872,1,log\cifar10_resnet18\iter_pruning_0.6_ml2.txt
cifar10_resnet18,swmr,SWMR,74.473,56.22,73.174,1,log\cifar10_resnet18\iter_pruning_0.6_slide_ml2.txt
cifar100_densenet121,base,Base,50.0,81.354,88.875,1,log\cifar100_densenet121\iter_pruning_0.6_.txt
cifar100_densenet121,ppb,PPB,46.667,67.565,77.587,1,log\cifar100_densenet121\iter_pruning_0.6_ppb.txt
cifar100_densenet121,adv,ADV,40.727,60.852,73.18,1,log\cifar100_densenet121\iter_pruning_0.6_adv.txt
cifar100_densenet121,dp,DP,7.297,52.18,71.925,1,log\cifar100_densenet121\iter_pruning_0.6_dp.txt
cifar100_densenet121,relaxloss,ReLo,49.636,66.398,75.86,1,log\cifar100_densenet121\iter_pruning_0.6_relaxloss.txt
cifar100_densenet121,rsw,RSW,49.285,62.257,72.488,1,log\cifar100_densenet121\iter_pruning_0.6_slide_re.txt
cifar100_densenet121,rmr,RMR,48.8,63.588,74.611,1,log\cifar100_densenet121\iter_pruning_0.6_ml2.txt
cifar100_densenet121,swmr,SWMR,40.945,60.274,72.706,1,log\cifar100_densenet121\iter_pruning_0.6_slide_ml2.txt
cinic_vgg16bn,base,Base,66.789,67.525,74.234,1,log\cinic_vgg16bn\iter_pruning_0.6_.txt
cinic_vgg16bn,ppb,PPB,57.487,52.014,63.022,1,log\cinic_vgg16bn\iter_pruning_0.6_ppb.txt
cinic_vgg16bn,adv,ADV,64.874,55.432,63.623,1,log\cinic_vgg16bn\iter_pruning_0.6_adv.txt
cinic_vgg16bn,dp,DP,55.918,53.178,62.706,1,log\cinic_vgg16bn\iter_pruning_0.6_dp.txt
cinic_vgg16bn,relaxloss,ReLo,64.095,53.735,63.33,1,log\cinic_vgg16bn\iter_pruning_0.6_relaxloss.txt
cinic_vgg16bn,rsw,RSW,61.578,57.004,63.159,1,log\cinic_vgg16bn\iter_pruning_0.6_slide_re.txt
cinic_vgg16bn,rmr,RMR,66.216,60.236,67.305,1,log\cinic_vgg16bn\iter_pruning_0.6_ml2.txt
cinic_vgg16bn,swmr,SWMR,61.898,54.7,62.146,1,log\cinic_vgg16bn\iter_pruning_0.6_slide_ml2.txt
location_columnfc,base,Base,65.239,86.044,90.065,1,log\location_columnfc\iter_prunetxt_0.6_.txt
location_columnfc,ppb,PPB,61.965,83.955,88.102,1,log\location_columnfc\iter_prunetxt_0.6_ppb.txt
location_columnfc,adv,ADV,46.348,63.564,73.97,1,log\location_columnfc\iter_prunetxt_0.6_adv.txt
location_columnfc,dp,DP,62.217,73.274,81.748,1,log\location_columnfc\iter_prunetxt_0.6_dp.txt
location_columnfc,relaxloss,ReLo,57.935,69.564,75.241,1,log\location_columnfc\iter_prunetxt_0.6_relaxloss.txt
location_columnfc,rsw,RSW,64.358,65.724,73.97,1,log\location_columnfc\iter_prunetxt_0.6_slide_re.txt
location_columnfc,rmr,RMR,66.247,75.859,83.712,1,log\location_columnfc\iter_prunetxt_0.6_ml2.txt
location_columnfc,swmr,SWMR,57.809,66.563,72.853,1,log\location_columnfc\iter_prunetxt_0.6_slide_ml2.txt
