combo,pruning_way,defense,prediction_accuracy,conf_attack_accuracy,samia_attack_accuracy,complete,path
cifar10_resnet18,iterative,base,75.188,66.846,79.945,1,log/wemem_fig8_reproduce\cifar10_resnet18\iterative_base.txt
cifar10_resnet18,iterative,rsw,73.091,55.891,73.138,1,log/wemem_fig8_reproduce\cifar10_resnet18\iterative_rsw.txt
cifar10_resnet18,iterative,rmr,74.824,64.408,77.785,1,log/wemem_fig8_reproduce\cifar10_resnet18\iterative_rmr.txt
cifar10_resnet18,iterative,swmr,72.933,59.739,73.607,1,log/wemem_fig8_reproduce\cifar10_resnet18\iterative_swmr.txt
cifar10_resnet18,oneshot,base,75.091,65.817,79.307,1,log/wemem_fig8_reproduce\cifar10_resnet18\oneshot_base.txt
cifar10_resnet18,oneshot,rsw,74.485,59.921,75.541,1,log/wemem_fig8_reproduce\cifar10_resnet18\oneshot_rsw.txt
cifar10_resnet18,oneshot,rmr,75.939,63.651,77.73,1,log/wemem_fig8_reproduce\cifar10_resnet18\oneshot_rmr.txt
cifar10_resnet18,oneshot,swmr,73.37,60.586,75.008,1,log/wemem_fig8_reproduce\cifar10_resnet18\oneshot_swmr.txt
cifar100_densenet121,iterative,base,47.091,77.623,85.008,1,log/wemem_fig8_reproduce\cifar100_densenet121\iterative_base.txt
cifar100_densenet121,iterative,rsw,46.594,60.75,72.911,1,log/wemem_fig8_reproduce\cifar100_densenet121\iterative_rsw.txt
cifar100_densenet121,iterative,rmr,47.794,75.944,83.659,1,log/wemem_fig8_reproduce\cifar100_densenet121\iterative_rmr.txt
cifar100_densenet121,iterative,swmr,44.994,66.598,75.327,1,log/wemem_fig8_reproduce\cifar100_densenet121\iterative_swmr.txt
cifar100_densenet121,oneshot,base,51.552,68.061,75.717,1,log/wemem_fig8_reproduce\cifar100_densenet121\oneshot_base.txt
cifar100_densenet121,oneshot,rsw,50.436,63.109,71.112,1,log/wemem_fig8_reproduce\cifar100_densenet121\oneshot_rsw.txt
cifar100_densenet121,oneshot,rmr,50.036,66.903,73.489,1,log/wemem_fig8_reproduce\cifar100_densenet121\oneshot_rmr.txt
cifar100_densenet121,oneshot,swmr,45.891,65.456,69.967,1,log/wemem_fig8_reproduce\cifar100_densenet121\oneshot_swmr.txt
cinic_vgg16bn,iterative,base,66.73,67.423,74.024,1,log/wemem_fig8_reproduce\cinic_vgg16bn\iterative_base.txt
cinic_vgg16bn,iterative,rsw,64.104,57.558,64.3,1,log/wemem_fig8_reproduce\cinic_vgg16bn\iterative_rsw.txt
cinic_vgg16bn,iterative,rmr,65.661,60.806,67.512,1,log/wemem_fig8_reproduce\cinic_vgg16bn\iterative_rmr.txt
cinic_vgg16bn,iterative,swmr,61.364,55.116,62.07,1,log/wemem_fig8_reproduce\cinic_vgg16bn\iterative_swmr.txt
cinic_vgg16bn,oneshot,base,66.258,56.655,64.967,1,log/wemem_fig8_reproduce\cinic_vgg16bn\oneshot_base.txt
cinic_vgg16bn,oneshot,rsw,64.091,55.535,63.645,1,log/wemem_fig8_reproduce\cinic_vgg16bn\oneshot_rsw.txt
cinic_vgg16bn,oneshot,rmr,65.577,56.182,64.342,1,log/wemem_fig8_reproduce\cinic_vgg16bn\oneshot_rmr.txt
cinic_vgg16bn,oneshot,swmr,62.538,54.424,62.347,1,log/wemem_fig8_reproduce\cinic_vgg16bn\oneshot_swmr.txt
location_columnfc,iterative,base,65.239,86.334,89.873,1,log/wemem_fig8_reproduce\location_columnfc\iterative_base.txt
location_columnfc,iterative,rsw,63.35,65.285,74.201,1,log/wemem_fig8_reproduce\location_columnfc\iterative_rsw.txt
location_columnfc,iterative,rmr,65.995,75.503,83.827,1,log/wemem_fig8_reproduce\location_columnfc\iterative_rmr.txt
location_columnfc,iterative,swmr,57.179,66.423,71.506,1,log/wemem_fig8_reproduce\location_columnfc\iterative_swmr.txt
location_columnfc,oneshot,base,65.239,76.478,83.827,1,log/wemem_fig8_reproduce\location_columnfc\oneshot_base.txt
location_columnfc,oneshot,rsw,65.239,71.037,79.361,1,log/wemem_fig8_reproduce\location_columnfc\oneshot_rsw.txt
location_columnfc,oneshot,rmr,64.484,72.113,80.901,1,log/wemem_fig8_reproduce\location_columnfc\oneshot_rmr.txt
location_columnfc,oneshot,swmr,64.736,71.974,82.172,1,log/wemem_fig8_reproduce\location_columnfc\oneshot_swmr.txt
