combo,pruning_strategy,defense,prediction_accuracy,conf_attack_accuracy,samia_attack_accuracy,complete,path
cifar10_resnet18,l1,base,73.758,66.666,79.509,1,log/wemem_fig9_reproduce\cifar10_resnet18\l1_base.txt
cifar10_resnet18,l1,rsw,70.545,55.959,73.171,1,log/wemem_fig9_reproduce\cifar10_resnet18\l1_rsw.txt
cifar10_resnet18,l1,rmr,74.497,64.581,78.137,1,log/wemem_fig9_reproduce\cifar10_resnet18\l1_rmr.txt
cifar10_resnet18,l1,swmr,69.988,62.645,74.927,1,log/wemem_fig9_reproduce\cifar10_resnet18\l1_swmr.txt
cifar10_resnet18,l2,base,74.339,67.772,80.328,1,log/wemem_fig9_reproduce\cifar10_resnet18\l2_base.txt
cifar10_resnet18,l2,rsw,70.485,55.258,73.171,1,log/wemem_fig9_reproduce\cifar10_resnet18\l2_rsw.txt
cifar10_resnet18,l2,rmr,74.267,64.243,77.441,1,log/wemem_fig9_reproduce\cifar10_resnet18\l2_rmr.txt
cifar10_resnet18,l2,swmr,69.285,62.965,75.32,1,log/wemem_fig9_reproduce\cifar10_resnet18\l2_swmr.txt
cifar100_vgg16bn,l1,base,32.024,81.1,87.415,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l1_base.txt
cifar100_vgg16bn,l1,rsw,30.8,63.952,73.145,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l1_rsw.txt
cifar100_vgg16bn,l1,rmr,31.915,78.777,85.769,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l1_rmr.txt
cifar100_vgg16bn,l1,swmr,27.588,68.747,74.159,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l1_swmr.txt
cifar100_vgg16bn,l2,base,32.279,81.468,87.532,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l2_base.txt
cifar100_vgg16bn,l2,rsw,30.339,62.64,73.158,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l2_rsw.txt
cifar100_vgg16bn,l2,rmr,30.861,77.987,84.728,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l2_rmr.txt
cifar100_vgg16bn,l2,swmr,29.685,65.716,73.815,1,log/wemem_fig9_reproduce\cifar100_vgg16bn\l2_swmr.txt
cifar10_densenet121,l1,base,79.37,63.354,78.023,1,log/wemem_fig9_reproduce\cifar10_densenet121\l1_base.txt
cifar10_densenet121,l1,rsw,77.406,56.435,73.171,1,log/wemem_fig9_reproduce\cifar10_densenet121\l1_rsw.txt
cifar10_densenet121,l1,rmr,78.655,60.855,76.075,1,log/wemem_fig9_reproduce\cifar10_densenet121\l1_rmr.txt
cifar10_densenet121,l1,swmr,76.473,58.194,73.763,1,log/wemem_fig9_reproduce\cifar10_densenet121\l1_swmr.txt
cifar10_densenet121,l2,base,78.048,62.968,77.928,1,log/wemem_fig9_reproduce\cifar10_densenet121\l2_base.txt
cifar10_densenet121,l2,rsw,76.315,56.713,73.171,1,log/wemem_fig9_reproduce\cifar10_densenet121\l2_rsw.txt
cifar10_densenet121,l2,rmr,78.582,60.098,75.889,1,log/wemem_fig9_reproduce\cifar10_densenet121\l2_rmr.txt
cifar10_densenet121,l2,swmr,76.739,59.6,74.189,1,log/wemem_fig9_reproduce\cifar10_densenet121\l2_swmr.txt
cinic_densenet121,l1,base,65.694,65.997,72.616,1,log/wemem_fig9_reproduce\cinic_densenet121\l1_base.txt
cinic_densenet121,l1,rsw,64.301,55.445,63.03,1,log/wemem_fig9_reproduce\cinic_densenet121\l1_rsw.txt
cinic_densenet121,l1,rmr,66.069,55.457,63.368,1,log/wemem_fig9_reproduce\cinic_densenet121\l1_rmr.txt
cinic_densenet121,l1,swmr,54.154,55.653,63.419,1,log/wemem_fig9_reproduce\cinic_densenet121\l1_swmr.txt
cinic_densenet121,l2,base,65.8,66.518,73.27,1,log/wemem_fig9_reproduce\cinic_densenet121\l2_base.txt
cinic_densenet121,l2,rsw,65.383,55.985,62.965,1,log/wemem_fig9_reproduce\cinic_densenet121\l2_rsw.txt
cinic_densenet121,l2,rmr,66.439,55.212,63.214,1,log/wemem_fig9_reproduce\cinic_densenet121\l2_rmr.txt
cinic_densenet121,l2,swmr,55.48,55.935,63.42,1,log/wemem_fig9_reproduce\cinic_densenet121\l2_swmr.txt
